year,constituencyNumber,district,constituency,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage
2001,215,Gopalganj,Gopalganj2,AL,4P,185821,8164,177657,89.96
2001,216,Gopalganj,Gopalganj3,AL,4P,154130,7223,146907,90.30
2001,217,Madaripur,Madaripur1,AL,4P,98898,47831,51067,34.57
2001,218,Madaripur,Madaripur2,AL,4P,139096,46234,92862,49.34
2001,219,Madaripur,Madaripur3,AL,Others,110993,37508,73485,42.74
2001,220,Shariatpur,Shariatpur1,Others,AL,99076,81930,17146,9.42
2001,221,Shariatpur,Shariatpur2,AL,Others,48578,33287,15291,15.15
2001,222,Shariatpur,Shariatpur3,AL,4P,125550,95961,29589,13.27
2001,223,Sunamganj,Sunamganj1,4P,AL,128448,95574,32874,14.57
2001,224,Sunamganj,Sunamgonj2,AL,4P,82839,66558,16281,10.81
2001,225,Sunamganj,Sunamgonj3,AL,4P,69421,63475,5946,3.92
2001,226,Sunamganj,Sunamgonj4,4P,AL,61807,51864,9943,6.91
2001,227,Sunamganj,Sunamganj5,4P,AL,113660,83500,30160,14.48
2001,228,Sylhet,Sylhet1,4P,AL,133827,95089,38738,15.48
2001,229,Sylhet,Sylhet2,4P,AL,103460,55291,48169,25.35
2001,230,Sylhet,Sylhet3,4P,AL,55994,44342,11652,9.83
2001,231,Sylhet,Sylhet4,4P,AL,62324,47608,14716,10.69
2001,232,Sylhet,Sylhet5,4P,AL,77750,52885,24865,15.71
2001,233,Sylhet,Sylhet6,Others,AL,88182,71517,16665,8.87
2001,234,Maulvibazar,Moulvibazar1,4P,AL,49281,47539,1742,1.68
2001,235,Maulvibazar,Moulvibazar2,Others,AL,81349,71803,9546,5.52
2001,236,Maulvibazar,Moulvibazar3,4P,AL,108513,95319,13194,6.32
2001,237,Maulvibazar,Moulvibazar4,AL,Others,96329,70652,25677,11.74
2001,238,Habiganj,Habiganj1,AL,4P,74693,66137,8556,4.59
2001,239,Habiganj,Habiganj2,AL,4P,50361,50014,347,0.21
2001,240,Habiganj,Habiganj3,AL,4P,83110,69306,13804,7.92
2001,241,Habiganj,Habiganj4,AL,4P,107376,93031,14345,6.04
2001,242,Brahmanbaria,Brahmminbaria1,Others,AL,47254,37163,10091,8.06
2001,243,Brahmanbaria,Brahmminbaria2,4P,AL,99804,56543,43261,24.16
2001,244,Brahmanbaria,Brahmminbaria3,4P,AL,150074,123158,26916,9.60
2001,245,Brahmanbaria,Brahmminbaria4,4P,AL,81229,60340,20889,12.43
2001,246,Brahmanbaria,Brahmminbaria5,4P,AL,102890,60368,42522,24.53
2001,247,Brahmanbaria,Brahmminbaria6,4P,AL,75716,50306,25410,20.08
2001,248,Comilla,Comilla1,4P,AL,73936,34645,39291,35.83
2001,249,Comilla,Comilla2,4P,AL,128680,54651,74029,34.96
2001,250,Comilla,Comilla3,4P,AL,107511,83301,24210,12.16
2001,251,Comilla,Comilla4,4P,AL,92329,58877,33452,21.49
2001,252,Comilla,Comilla5,4P,AL,96828,87276,9552,5.01
2001,253,Comilla,Comilla6,4P,AL,87483,39364,48119,37.67
2001,254,Comilla,Comilla7,4P,AL,89623,58898,30725,20.09
2001,255,Comilla,Comilla8,4P,AL,65447,34399,31048,23.00
2001,256,Comilla,Comilla9,4P,AL,78622,66175,12447,8.50
2001,257,Comilla,Comilla10,4P,AL,107769,70434,37335,20.13
2001,258,Comilla,Comilla11,4P,AL,87898,47176,40722,29.95
2001,259,Comilla,Comilla12,4P,AL,108407,54172,54235,33.03
2001,260,Chandpur,Chandpur1,4P,AL,85507,62537,22970,15.40
2001,261,Chandpur,Chandpur2,4P,AL,78205,50516,27689,21.15
2001,262,Chandpur,Chandpur3,4P,AL,72830,47324,25506,20.62
2001,263,Chandpur,Chandpur4,4P,AL,92829,61740,31089,19.08
2001,264,Chandpur,Chandpur5,4P,AL,110792,94531,16261,7.66
2001,265,Chandpur,Chandpur6,4P,AL,85856,48921,36935,26.85
2001,266,Feni,Feni1,4P,AL,103149,36763,66386,46.47
2001,267,Feni,Feni2,4P,AL,115278,67025,48253,25.70
2001,268,Feni,Feni3,4P,AL,94321,42212,52109,37.77
2001,269,Noakhali,Noakhali1,4P,AL,57555,30876,26679,28.68
2001,270,Noakhali,Noakhali2,4P,AL,158737,72134,86603,33.91
2001,271,Noakhali,Noakhali3,4P,AL,50378,27978,22400,26.00
2001,272,Noakhali,Noakhali4,4P,AL,112095,83998,28097,13.92
2001,273,Noakhali,Noakhali5,4P,AL,84578,45972,38606,22.03
2001,274,Noakhali,Noakhali6,Others,AL,39275,33036,6239,6.19
2001,275,Laxmipur,Laxmipur1,4P,AL,68990,32437,36553,34.92
2001,276,Laxmipur,Laxmipur2,4P,AL,123526,44974,78552,45.93
2001,277,Laxmipur,Laxmipur3,4P,AL,95215,41235,53980,38.56
2001,278,Laxmipur,Laxmipur4,4P,Others,45977,44542,1435,1.11
2001,279,Chittagong,Chittagong1,4P,AL,86839,82333,4506,2.63
2001,280,Chittagong,Chittagong2,4P,AL,67512,46045,21467,15.68
2001,281,Chittagong,Chittagong3,4P,AL,69546,39135,30411,27.88
2001,282,Chittagong,Chittagong4,AL,4P,108011,82518,25493,13.20
2001,283,Chittagong,Chittagong5,4P,AL,84063,73938,10125,6.14
2001,284,Chittagong,Chittagong6,AL,4P,74669,67340,7329,5.11
2001,285,Chittagong,Chittagong7,4P,AL,65116,55267,9849,7.42
2001,286,Chittagong,Chittagong8,4P,AL,181584,129198,52386,16.37
2001,287,Chittagong,Chittagong9,4P,AL,131639,111935,19704,7.90
2001,288,Chittagong,Chittagong10,4P,AL,112308,90380,21928,10.32
2001,289,Chittagong,Chittagong11,4P,AL,79914,63250,16664,10.82
2001,290,Chittagong,Chittagong12,4P,AL,76473,68187,8286,5.52
2001,291,Chittagong,Chittagong13,4P,AL,70016,57700,12316,9.46
2001,292,Chittagong,Chittagong14,Others,4P,106569,64184,42385,19.19
2001,293,Chittagong,Chittagong15,4P,AL,100856,56314,44542,27.61
2001,294,Cox's Bazar,Cox's Bazar1,4P,AL,134602,74297,60305,28.39
2001,295,Cox's Bazar,Cox's Bazar2,4P,AL,103503,49190,54313,35.47
2001,296,Cox's Bazar,Cox's Bazar3,4P,AL,113895,8312,105583,85.20
2001,297,Cox's Bazar,Cox's Bazar4,4P,AL,89747,48735,41012,29.62
2001,298,Khagrachari,Khagrachari,4P,AL,93859,55309,38550,20.66
2001,299,Rangamati,Rangamati,4P,AL,68744,51000,17744,13.04
2001,300,Bandarban,Bandarban,AL,4P,39550,38697,853,0.84
,,,,,,,,,
