year,constituencyNumber,district,constituency,latitude,longitude,winner,second,winnerVotes,secondVotes,margin,difference,magnitude
2008,104,Khulna,KHULNA-6,22.395793,89.345512,MOHAJOTE,4P,131121,116161,14960,5.95,0
2008,162,Kishoreganj,KISHOREGANJ-1,24.437148,90.74687,MOHAJOTE,4P,172065,100080,71985,25.91,2
2008,163,Kishoreganj,KISHOREGANJ-2,24.315814,90.761976,MOHAJOTE,4P,172341,99522,72819,26.19,2
2008,164,Kishoreganj,KISHOREGANJ-3,24.517139,90.908918,MOHAJOTE,4P,156116,53211,102905,48.5,4
2008,165,Kishoreganj,KISHOREGANJ-4,24.433397,91.088819,MOHAJOTE,4P,115093,92440,22653,10.84,1
2008,166,Kishoreganj,KISHOREGANJ-5,24.323322,90.939131,MOHAJOTE,4P,123474,65054,58420,30.56,3
2008,167,Kishoreganj,KISHOREGANJ-6,24.210647,90.944624,MOHAJOTE,4P,144587,89837,54750,23.28,2
2008,25,Kurigram,KURIGRAM-1,26.086388,89.691982,MOHAJOTE,4P,209899,92583,117316,36.43,3
2008,26,Kurigram,KURIGRAM-2,25.945697,89.650784,MOHAJOTE,4P,209505,52374,157131,54.28,5
2008,27,Kurigram,KURIGRAM-3,25.691038,89.65353,MOHAJOTE,Others,187528,50544,136984,54.61,5
2008,28,Kurigram,KURIGRAM-4,25.616763,89.801846,AL,JP,73913,53682,20231,10.26,11
2008,75,Kushtia,KUSHTIA-1,24.018871,88.854475,MOHAJOTE,4P,145063,102412,42651,17.06,1
2008,76,Kushtia,KUSHTIA-2,23.941076,89.012403,MOHAJOTE,4P,165952,107527,58425,20.09,2
2008,77,Kushtia,KUSHTIA-3,23.815501,89.104414,MOHAJOTE,4P,135125,126554,8571,3.18,0
2008,78,Kushtia,KUSHTIA-4,23.85821,89.23213,AL,4P,131620,115842,15778,6.15,10
2008,16,Lalmonirhat,LALMONIRHAT-1,26.332807,89.043789,MOHAJOTE,4P,142340,74219,68121,30.91,3
2008,17,Lalmonirhat,LALMONIRHAT-2,26.004956,89.290981,MOHAJOTE,4P,161677,61599,100078,42.77,4
2008,18,Lalmonirhat,LALMONIRHAT-3,25.886408,89.464016,MOHAJOTE,4P,98217,74653,23564,13.44,1
2008,274,Laxmipur,LAKSHMIPUR-1,23.098681,90.870466,4P,MOHAJOTE,74276,54946,19330,14.49,21
2008,275,Laxmipur,LAKSHMIPUR-2,22.976095,90.74687,4P,MOHAJOTE,129995,51732,78263,35.03,23
2008,276,Laxmipur,LAKSHMIPUR-3,22.941954,90.910292,4P,MOHAJOTE,109631,82050,27581,14.2,21
2008,277,Laxmipur,LAKSHMIPUR-4,22.772383,90.869093,4P,MOHAJOTE,68549,58427,10122,5.63,20
2008,218,Madaripur,MADARIPUR-1,23.330907,90.170088,MOHAJOTE,Others,119767,24829,94938,60.74,6
2008,219,Madaripur,MADARIPUR-2,23.209796,90.124769,MOHAJOTE,4P,179883,28594,151289,69.67,6
2008,220,Madaripur,MADARIPUR-3,23.104997,90.266218,MOHAJOTE,4P,129638,48319,81319,43.13,4
2008,91,Magura,MAGURA-1,23.548881,89.409285,MOHAJOTE,4P,135596,109835,25761,10.23,1
2008,92,Magura,MAGURA-2,23.36495,89.428511,MOHAJOTE,4P,115275,109808,5467,2.31,0
2008,168,Manikganj,MANIKGANJ-1,23.90216,89.856977,MOHAJOTE,4P,147322,102412,44910,16.58,1
2008,169,Manikganj,MANIKGANJ-2,23.762723,89.990187,MOHAJOTE,4P,148276,126423,21853,7.9,0
2008,170,Manikganj,MANIKGANJ-3,23.942331,90.002546,MOHAJOTE,4P,130111,92216,37895,16.77,1
2008,235,Maulvibazar,MAULVIBAZAR-1,24.654506,92.147427,MOHAJOTE,4P,106570,69609,36961,20.84,2
2008,236,Maulvibazar,MAULVIBAZAR-2,24.524636,92.065029,JP,Others,130941,66385,64556,30.29,33
2008,237,Maulvibazar,MAULVIBAZAR-3,24.47965,91.798611,MOHAJOTE,4P,144921,112895,32026,12.19,1
2008,238,Maulvibazar,MAULVIBAZAR-4,24.30455,91.754665,MOHAJOTE,4P,131740,79599,52141,24.19,2
2008,73,Meherpur,MEHERPUR-1,23.769007,88.635535,MOHAJOTE,BNP,107492,62745,44747,22.02,2
2008,74,Meherpur,MEHERPUR-2,23.85821,88.770118,4P,MOHAJOTE,86768,84279,2489,1.45,20
2008,171,Munshiganj,MUNSHIGANJ-1,23.590419,90.341749,MOHAJOTE,4P,144159,99233,44926,15.55,1
2008,172,Munshiganj,MUNSHIGANJ-2,23.489698,90.406294,MOHAJOTE,4P,104876,87358,17518,8.9,0
2008,173,Munshiganj,MUNSHIGANJ-3,23.516145,90.550489,AL,4P,142484,119940,22544,8.28,10
2008,146,Mymensingh,MYMENSINGH-1,25.085599,90.4006,MOHAJOTE,4P,142981,91345,51636,21.64,2
2008,147,Mymensingh,MYMENSINGH-2,24.948709,90.386867,MOHAJOTE,4P,172533,94090,78443,28.92,2
2008,148,Mymensingh,MYMENSINGH-3,24.75182,90.603847,MOHAJOTE,4P,177280,76517,100763,38.51,3
2008,149,Mymensingh,MYMENSINGH-4,24.749326,90.392361,AL,4P,172239,85760,86479,32.73,13
2008,150,Mymensingh,MYMENSINGH-5,24.744337,90.219326,MOHAJOTE,4P,121255,81205,40050,19.4,1
2008,151,Mymensingh,MYMENSINGH-6,24.594583,90.249538,MOHAJOTE,4P,125629,81514,44115,20.89,2
2008,152,Mymensingh,MYMENSINGH-7,24.574602,90.436306,MOHAJOTE,4P,135379,58040,77339,38.94,3
2008,153,Mymensingh,MYMENSINGH-8,24.666986,90.609341,MOHAJOTE,4P,121163,57041,64122,35.76,3
2008,154,Mymensingh,MYMENSINGH-9,24.532132,90.645046,MOHAJOTE,4P,127309,56843,70466,37.49,3
2008,155,Mymensingh,MYMENSINGH-10,24.41214,90.515957,MOHAJOTE,4P,142126,71511,70615,32.42,3
2008,156,Mymensingh,MYMENSINGH-11,24.414641,90.384121,MOHAJOTE,4P,137375,63376,73999,36.54,3
2008,46,Naogaon,NAOGAON-1,24.993526,88.541164,MOHAJOTE,4P,177251,111089,66162,22.43,2
2008,47,Naogaon,NAOGAON-2,25.137826,88.736172,MOHAJOTE,4P,149480,97732,51748,20.7,2
2008,48,Naogaon,NAOGAON-3,24.9761,88.835049,MOHAJOTE,4P,176562,115740,60822,20.6,2
2008,49,Naogaon,NAOGAON-4,24.769278,88.694973,Others,4P,117086,92899,24187,11,41
2008,50,Naogaon,NAOGAON-5,24.806681,88.89822,MOHAJOTE,4P,136643,90662,45981,20.05,2
2008,51,Naogaon,NAOGAON-6,24.674474,89.00259,MOHAJOTE,4P,130985,86990,43995,20.05,2
2008,93,Narail,NARAIL-1,23.088575,89.55564,Others,4P,67711,50777,16934,10.45,41
2008,94,Narail,NARAIL-2,23.22431,89.55564,MOHAJOTE,4P,125458,69657,55801,26.52,2
2008,199,Narsingdi,NARSINGDI-1,23.867001,90.713911,MOHAJOTE,4P,122105,105454,16651,7.05,0
2008,200,Narsingdi,NARSINGDI-2,23.918481,90.660353,MOHAJOTE,4P,101687,71859,29828,16.24,1
2008,201,Narsingdi,NARSINGDI-3,24.003817,90.766096,MOHAJOTE,Others,93746,70516,23230,12.89,1
2008,202,Narsingdi,NARSINGDI-4,24.154272,90.75511,MOHAJOTE,4P,145989,78789,67200,28.5,2
2008,203,Narsingdi,NARSINGDI-5,23.984998,90.878706,MOHAJOTE,4P,142416,77549,64867,29.04,2
2008,58,Natore,NATORE-1,24.200627,88.935499,MOHAJOTE,4P,123835,103814,20021,8.59,0
2008,59,Natore,NATORE-2,24.423394,88.965712,MOHAJOTE,4P,135432,111866,23566,9.37,0
2008,60,Natore,NATORE-3,24.517139,89.181318,MOHAJOTE,4P,127987,78043,49944,23.75,2
2008,61,Natore,NATORE-4,24.280768,89.144239,MOHAJOTE,4P,160549,115409,45140,16.08,1
2008,43,Nawabganj,CHAPAI NABABGANJ-1,24.686952,88.108778,MOHAJOTE,4P,139308,116673,22635,7.36,0
2008,44,Nawabganj,CHAPAI NABABGANJ-2,24.825379,88.329878,MOHAJOTE,4P,151085,121969,29116,10.6,1
2008,45,Nawabganj,CHAPAI NABABGANJ-3,24.580846,88.241987,MOHAJOTE,BNP,112753,76178,36575,13.9,1
2008,157,Netrokona,NETRAKONA-1,25.105497,90.792189,MOHAJOTE,4P,132977,82322,50655,23.02,2
